attendance_id,student_id,class_id,date,status
1,5,2,Mon Sep 25 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
2,6,2,Mon Sep 25 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
4,7,2,Mon Sep 25 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
5,8,2,Mon Sep 25 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
6,9,2,Mon Sep 25 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
7,9,2,Mon Sep 25 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
10,5,1,Sun Oct 01 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
11,6,1,Sun Oct 01 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
12,7,1,Sun Oct 01 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
13,8,1,Sun Oct 01 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
14,8,2,Sun Oct 01 2023 00:00:00 GMT+0100 (West Africa Standard Time),Present
